Trace1:
100,100,2000
200,200,2000
400,400,2000
800,800,2000
1600,1600,2000
3200,3200,2000
1600,1600,2000
800,800,2000
400,400,2000
200,200,2000
100,100,2000

Trace2:
10,1,1000
250,250,1000
500,500,1000
750,750,1000
1000,1000,1000
1250,1250,1000
1500,1500,1000
1750,1750,1000
2000,2000,1000
2500,2500,1000
3000,3000,1000
2500,2500,1000
2000,2000,1000
1750,1750,1000
1500,1500,1000
1250,1250,1000
1000,1000,1000
750,750,1000
500,500,1000
250,250,1000

Trace3:
10,1,15000
3500,3500,5000
700,700,10000
2000,2000,5000
